Time,Queue Size,Event
4.356,4,size
4.361,5,size
4.361,6,size
4.364,5,size
4.369,6,size
4.369,7,size
4.372,6,size
4.377,7,size
4.377,8,size
4.38,7,size
4.385,8,size
4.385,9,size
4.388,8,size
4.393,9,size
4.393,10,size
4.396,9,size
4.401,10,size
4.404,9,size
4.409,10,size
4.412,9,size
4.417,10,size
4.42,9,size
4.425,10,size
4.428,9,size
4.433,10,size
4.436,9,size
4.441,10,size
4.444,9,size
4.449,10,size
4.452,9,size
4.457,10,size
4.46,9,size
4.465,10,size
4.468,9,size
4.473,10,size
4.476,9,size
4.481,10,size
4.484,9,size
4.489,10,size
4.492,9,size
4.497,10,size
4.5,9,size
4.505,10,size
4.508,9,size
4.513,10,size
4.516,9,size
4.521,10,size
4.524,9,size
4.529,10,size
4.532,9,size
4.537,10,size
4.54,9,size
4.545,10,size
4.548,9,size
4.553,10,size
4.556,9,size
4.561,10,size
4.564,9,size
4.569,10,size
4.572,9,size
4.577,10,size
4.58,9,size
4.585,10,size
4.585,11,size
4.588,10,size
4.593,11,size
4.596,10,size
4.601,11,size
4.604,10,size
4.609,11,size
4.612,10,size
4.617,11,size
4.62,10,size
4.625,11,size
4.628,10,size
4.633,11,size
4.636,10,size
4.641,11,size
4.644,10,size
4.649,11,size
4.652,10,size
4.657,11,size
4.66,10,size
4.665,11,size
4.668,10,size
4.673,11,size
4.676,10,size
4.681,11,size
4.684,10,size
4.689,11,size
4.692,10,size
4.697,11,size
4.7,10,size
4.705,11,size
4.708,10,size
4.713,11,size
4.716,10,size
4.721,11,size
4.724,10,size
4.729,11,size
4.732,10,size
4.737,11,size
4.74,10,size
4.745,11,size
4.748,10,size
4.753,11,size
4.756,10,size
4.761,11,size
4.764,10,size
4.769,11,size
4.772,10,size
4.777,11,size
4.777,12,size
4.78,11,size
4.785,12,size
4.788,11,size
4.793,12,size
4.796,11,size
4.801,12,size
4.804,11,size
4.809,12,size
4.812,11,size
4.817,12,size
4.82,11,size
4.825,12,size
4.828,11,size
4.833,12,size
4.836,11,size
4.841,12,size
4.844,11,size
4.849,12,size
4.852,11,size
4.857,12,size
4.86,11,size
4.865,12,size
4.868,11,size
4.873,12,size
4.876,11,size
4.881,12,size
4.884,11,size
4.889,12,size
4.892,11,size
4.897,12,size
4.9,11,size
4.905,12,size
4.908,11,size
4.913,12,size
4.916,11,size
4.921,12,size
4.924,11,size
4.929,12,size
4.932,11,size
4.937,12,size
4.94,11,size
4.945,12,size
4.948,11,size
4.953,12,size
4.956,11,size
4.961,12,size
4.964,11,size
4.969,12,size
4.972,11,size
4.98,10,size
4.988,9,size
4.996,8,size
5.004,7,size
5.012,6,size
5.02,5,size
5.028,4,size
5.036,3,size
5.044,2,size
5.052,1,size
5.06,0,size
