Time,Sequence Number,Event
3.288,332000,transmit
3.293,319000,ack
3.293,366000,send
3.296,333000,transmit
3.301,320000,ack
3.301,367000,send
3.304,334000,transmit
3.309,321000,ack
3.309,368000,send
3.312,335000,transmit
3.317,322000,ack
3.317,369000,send
3.32,336000,transmit
3.325,323000,ack
3.325,370000,send
3.328,337000,transmit
3.333,324000,ack
3.333,371000,send
3.336,338000,transmit
3.341,325000,ack
3.341,372000,send
3.344,339000,transmit
3.349,326000,ack
3.349,373000,send
3.352,340000,transmit
3.357,327000,ack
3.357,374000,send
3.36,341000,transmit
3.365,328000,ack
3.365,375000,send
3.368,342000,transmit
3.373,329000,ack
3.373,376000,send
3.376,343000,transmit
3.381,330000,ack
3.381,377000,send
3.384,344000,transmit
3.389,331000,ack
3.389,378000,send
3.392,345000,transmit
3.397,332000,ack
3.397,379000,send
3.4,346000,transmit
3.405,333000,ack
3.405,380000,send
3.408,347000,transmit
3.413,334000,ack
3.413,381000,send
3.416,348000,transmit
3.421,335000,ack
3.421,382000,send
3.424,349000,transmit
3.429,336000,ack
3.429,383000,send
3.432,351000,transmit
3.437,337000,ack
3.437,384000,send
3.44,352000,transmit
3.445,338000,ack
3.445,385000,send
3.448,353000,transmit
3.453,339000,ack
3.453,386000,send
3.456,354000,transmit
3.461,340000,ack
3.461,387000,send
3.464,355000,transmit
3.469,341000,ack
3.469,388000,send
3.472,356000,transmit
3.477,342000,ack
3.477,389000,send
3.48,357000,transmit
3.485,343000,ack
3.485,390000,send
3.488,358000,transmit
3.493,344000,ack
3.493,391000,send
3.496,359000,transmit
3.501,345000,ack
3.501,392000,send
3.504,360000,transmit
3.509,346000,ack
3.509,393000,send
3.512,361000,transmit
3.517,347000,ack
3.517,394000,send
3.52,362000,transmit
3.525,348000,ack
3.525,395000,send
3.528,363000,transmit
3.533,349000,ack
3.533,396000,send
3.536,364000,transmit
3.541,349000,ack
3.544,365000,transmit
3.549,349000,ack
3.552,366000,transmit
3.557,349000,ack
3.557,350000,send
3.56,367000,transmit
3.565,349000,ack
3.568,368000,transmit
3.573,349000,ack
3.576,369000,transmit
3.581,349000,ack
3.584,370000,transmit
3.589,349000,ack
3.592,371000,transmit
3.597,349000,ack
3.6,372000,transmit
3.605,349000,ack
3.608,373000,transmit
3.613,349000,ack
3.616,374000,transmit
3.621,349000,ack
3.624,375000,transmit
3.629,349000,ack
3.632,376000,transmit
3.637,349000,ack
3.64,377000,transmit
3.645,349000,ack
3.648,378000,transmit
3.653,349000,ack
3.656,379000,transmit
3.661,349000,ack
3.664,380000,transmit
3.669,349000,ack
3.672,381000,transmit
3.677,349000,ack
3.68,382000,transmit
3.685,349000,ack
3.688,383000,transmit
3.693,349000,ack
3.696,384000,transmit
3.701,349000,ack
3.704,385000,transmit
3.709,349000,ack
3.712,386000,transmit
3.717,349000,ack
3.72,387000,transmit
3.725,349000,ack
3.728,388000,transmit
3.733,349000,ack
3.736,389000,transmit
3.741,349000,ack
3.744,390000,transmit
3.749,349000,ack
3.752,391000,transmit
3.757,349000,ack
3.76,392000,transmit
3.765,349000,ack
3.768,393000,transmit
3.773,349000,ack
3.776,394000,transmit
3.781,349000,ack
3.784,395000,transmit
3.789,349000,ack
